               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041741,            0.055161,           0.0028804,             0.75731,             0.74375,              0.7478,             0.39993,            0.049964,            0.051652,           0.0024719,            0.006535,            0.006535,            0.006535
                  37,            0.041191,            0.052397,           0.0030526,             0.85558,             0.70392,             0.74632,             0.40681,             0.04847,            0.055773,           0.0024664,            0.006436,            0.006436,            0.006436
                  38,            0.037099,            0.054725,           0.0026348,             0.73474,               0.725,             0.74149,              0.4025,             0.05032,            0.054083,           0.0024365,            0.006337,            0.006337,            0.006337
                  39,            0.040237,            0.055592,           0.0026317,             0.78733,                0.65,             0.67834,             0.37433,            0.051379,            0.061564,           0.0026494,            0.006238,            0.006238,            0.006238
                  40,            0.039085,            0.056557,            0.002627,             0.71911,             0.70625,             0.70152,             0.39283,            0.049387,            0.058596,           0.0024709,            0.006139,            0.006139,            0.006139
                  41,            0.037919,            0.054648,            0.003003,             0.75252,               0.675,             0.70035,             0.38625,            0.049747,            0.055737,           0.0023245,             0.00604,             0.00604,             0.00604
                  42,            0.036857,            0.052407,           0.0025221,             0.78797,             0.76096,              0.7613,             0.42322,            0.048145,             0.05147,           0.0023407,            0.005941,            0.005941,            0.005941
                  43,            0.036317,            0.050314,           0.0028372,             0.73015,             0.78991,             0.77334,             0.44028,            0.047924,            0.050673,           0.0022575,            0.005842,            0.005842,            0.005842
                  44,            0.035078,            0.050915,           0.0026111,             0.70409,             0.78125,             0.74998,             0.41518,            0.049577,            0.051199,           0.0022266,            0.005743,            0.005743,            0.005743
                  45,            0.034755,            0.051983,           0.0023976,             0.73998,             0.68542,             0.70986,             0.44007,            0.051184,            0.053851,           0.0025194,            0.005644,            0.005644,            0.005644
                  46,            0.037598,            0.051699,           0.0022111,             0.69644,             0.60417,             0.62906,             0.41086,            0.054402,            0.067221,           0.0028571,            0.005545,            0.005545,            0.005545
                  47,            0.033156,            0.048908,           0.0028067,             0.78383,                0.65,             0.69939,             0.39467,            0.055671,            0.058395,           0.0024957,            0.005446,            0.005446,            0.005446
                  48,            0.036206,            0.051549,           0.0021841,             0.68276,             0.60937,             0.66476,             0.39412,             0.05442,            0.064663,           0.0027559,            0.005347,            0.005347,            0.005347
                  49,             0.03566,            0.046073,           0.0021758,              0.7031,             0.66822,             0.70875,             0.42122,            0.053043,            0.060569,           0.0024129,            0.005248,            0.005248,            0.005248
                  50,            0.034468,            0.054425,           0.0020084,             0.73782,               0.725,             0.73514,             0.42802,            0.049987,            0.054548,           0.0019273,            0.005149,            0.005149,            0.005149
                  51,            0.033743,            0.055665,           0.0022511,             0.78939,             0.71775,             0.75126,             0.43435,            0.049584,            0.055364,           0.0020027,             0.00505,             0.00505,             0.00505
                  52,            0.032681,            0.048031,           0.0023213,              0.7842,             0.70608,             0.74512,             0.44573,            0.050984,            0.057786,           0.0020962,            0.004951,            0.004951,            0.004951
                  53,            0.031171,            0.050489,           0.0020769,             0.79995,                 0.7,             0.74501,             0.45353,             0.04843,            0.057166,           0.0021079,            0.004852,            0.004852,            0.004852
                  54,            0.032106,            0.047346,           0.0022992,             0.85738,             0.64375,             0.73542,             0.43582,            0.049085,            0.061153,           0.0023014,            0.004753,            0.004753,            0.004753
                  55,            0.033137,            0.045813,           0.0025205,              0.8448,             0.67881,             0.73154,             0.44107,            0.049376,             0.05998,           0.0023438,            0.004654,            0.004654,            0.004654
                  56,            0.032106,            0.050225,            0.002069,             0.79402,               0.682,             0.71967,              0.4527,            0.050335,            0.056514,           0.0023931,            0.004555,            0.004555,            0.004555
                  57,            0.031259,            0.042611,           0.0020909,              0.8782,             0.68971,             0.72444,              0.4252,            0.052063,            0.059676,           0.0025729,            0.004456,            0.004456,            0.004456
                  58,            0.032714,              0.0505,           0.0024517,             0.91049,             0.69006,             0.74628,             0.47736,            0.050762,            0.058062,           0.0025521,            0.004357,            0.004357,            0.004357
                  59,            0.031638,            0.050529,           0.0020106,             0.86249,             0.69103,             0.73285,             0.48963,            0.050405,            0.057436,           0.0026723,            0.004258,            0.004258,            0.004258
                  60,            0.032035,            0.044761,           0.0021496,             0.82299,             0.72008,              0.7271,             0.47853,            0.050875,            0.057129,           0.0026137,            0.004159,            0.004159,            0.004159
                  61,            0.031349,             0.04481,           0.0020459,             0.92417,             0.66667,              0.7486,              0.4966,            0.047801,            0.057614,           0.0023958,             0.00406,             0.00406,             0.00406
                  62,            0.031319,            0.053575,           0.0017826,             0.76696,               0.725,             0.74983,             0.47184,            0.047255,            0.058587,           0.0023622,            0.003961,            0.003961,            0.003961
                  63,            0.030279,             0.04476,           0.0021452,             0.77601,             0.72424,              0.7336,             0.45688,            0.046914,            0.058417,           0.0024167,            0.003862,            0.003862,            0.003862
                  64,            0.029767,            0.047487,           0.0019594,             0.83145,             0.71623,              0.7302,             0.48004,            0.048308,            0.059515,           0.0026536,            0.003763,            0.003763,            0.003763
                  65,            0.029735,            0.047575,           0.0020348,             0.78648,             0.73094,             0.75583,             0.46184,            0.046973,            0.057339,           0.0023952,            0.003664,            0.003664,            0.003664
                  66,            0.029652,            0.049572,           0.0016994,             0.76271,             0.73976,             0.75552,             0.46341,            0.047306,            0.056622,           0.0023268,            0.003565,            0.003565,            0.003565
                  67,            0.030442,            0.051731,           0.0017102,              0.7733,              0.7125,             0.75015,             0.42369,            0.048033,             0.05741,           0.0023457,            0.003466,            0.003466,            0.003466
                  68,            0.029142,            0.042111,           0.0018492,             0.78538,             0.70625,             0.74805,              0.4307,            0.048269,            0.060214,           0.0024566,            0.003367,            0.003367,            0.003367
                  69,            0.029198,            0.052698,           0.0017742,             0.82751,             0.65417,             0.74814,             0.47072,             0.04713,            0.058412,           0.0024104,            0.003268,            0.003268,            0.003268
                  70,            0.028179,            0.042739,            0.001656,             0.73123,             0.72682,             0.75416,             0.48056,            0.047394,            0.058802,           0.0023814,            0.003169,            0.003169,            0.003169
                  71,             0.02838,            0.041312,           0.0018618,             0.80833,             0.68758,              0.7287,             0.44664,            0.049111,            0.059741,           0.0028457,             0.00307,             0.00307,             0.00307
                  72,            0.028378,            0.043945,           0.0016414,             0.78912,             0.73942,             0.73962,             0.47719,            0.046928,            0.056568,           0.0022796,            0.002971,            0.002971,            0.002971
                  73,            0.028318,            0.049349,           0.0015377,             0.79737,              0.7875,             0.78249,             0.50016,            0.045119,            0.053818,           0.0019583,            0.002872,            0.002872,            0.002872
                  74,            0.027986,            0.040376,           0.0019117,             0.79379,             0.74679,             0.77114,              0.4619,            0.045687,            0.054666,           0.0019028,            0.002773,            0.002773,            0.002773
                  75,            0.026784,            0.045614,           0.0016416,             0.85354,             0.75424,             0.77752,             0.47433,            0.044698,            0.054074,           0.0018403,            0.002674,            0.002674,            0.002674
                  76,            0.027677,            0.044798,           0.0014711,             0.79872,             0.74792,              0.7694,             0.47973,             0.04462,            0.055178,           0.0018622,            0.002575,            0.002575,            0.002575
                  77,             0.02715,            0.045641,           0.0015599,             0.84954,             0.67292,             0.75324,             0.50002,            0.045304,            0.057874,           0.0020329,            0.002476,            0.002476,            0.002476
                  78,            0.026116,            0.042211,           0.0015188,             0.89648,             0.63793,             0.75885,             0.50409,            0.045797,            0.061277,             0.00215,            0.002377,            0.002377,            0.002377
                  79,            0.027277,            0.039959,             0.00156,             0.94381,             0.62968,             0.75578,             0.49248,            0.046141,            0.061494,            0.002288,            0.002278,            0.002278,            0.002278
                  80,            0.025518,            0.042321,           0.0013708,             0.83819,             0.66716,             0.74545,             0.49151,            0.046269,            0.062087,           0.0024752,            0.002179,            0.002179,            0.002179
                  81,            0.026397,            0.046767,           0.0014178,             0.82559,               0.725,             0.75973,             0.50771,            0.046274,            0.060067,           0.0024311,             0.00208,             0.00208,             0.00208
                  82,            0.025969,             0.04162,           0.0014575,             0.80245,               0.725,             0.76071,             0.51012,            0.046447,            0.058894,           0.0023604,            0.001981,            0.001981,            0.001981
                  83,            0.026176,            0.040313,           0.0016707,              0.8371,             0.69375,             0.76277,             0.49347,            0.046691,            0.059579,           0.0022962,            0.001882,            0.001882,            0.001882
                  84,            0.025771,            0.047686,           0.0017758,             0.83249,             0.73125,             0.76276,              0.4967,            0.046455,            0.058187,           0.0022061,            0.001783,            0.001783,            0.001783
                  85,            0.025278,            0.039881,           0.0013504,             0.79289,               0.725,             0.76029,             0.49083,             0.04634,            0.057896,           0.0022499,            0.001684,            0.001684,            0.001684
                  86,            0.025548,            0.039932,           0.0014335,             0.83474,             0.71991,             0.76263,             0.49709,            0.047116,            0.058382,             0.00222,            0.001585,            0.001585,            0.001585
                  87,             0.02556,            0.042729,           0.0014715,             0.80984,             0.72531,             0.76341,             0.48935,            0.048608,            0.059285,            0.002263,            0.001486,            0.001486,            0.001486
                  88,            0.025001,            0.037621,           0.0017084,             0.82032,              0.7125,             0.76469,             0.48888,             0.04836,             0.05949,           0.0022791,            0.001387,            0.001387,            0.001387
                  89,             0.02482,            0.040181,           0.0014709,             0.80423,                 0.7,             0.74439,             0.49169,            0.048426,            0.060019,           0.0023039,            0.001288,            0.001288,            0.001288
                  90,             0.02452,            0.041202,           0.0011408,             0.83462,             0.72492,             0.75977,             0.48775,            0.048054,            0.060173,           0.0023187,            0.001189,            0.001189,            0.001189
                  91,            0.025068,            0.039787,           0.0017014,             0.82904,              0.7125,             0.75914,             0.47813,            0.048673,            0.060391,            0.002329,             0.00109,             0.00109,             0.00109
                  92,            0.025168,            0.045461,           0.0014233,             0.90234,             0.66471,             0.76457,             0.48742,            0.047927,            0.058995,           0.0023174,            0.000991,            0.000991,            0.000991
                  93,            0.024084,            0.041622,           0.0012156,             0.88749,             0.65808,             0.75625,             0.46726,            0.047853,            0.058534,           0.0022709,            0.000892,            0.000892,            0.000892
                  94,            0.025345,            0.036037,           0.0012648,             0.81288,              0.7081,             0.75973,             0.47251,            0.048113,            0.058315,            0.002245,            0.000793,            0.000793,            0.000793
                  95,            0.024071,            0.041822,           0.0013824,             0.82075,              0.7125,             0.77863,             0.49304,            0.047791,            0.057965,           0.0022274,            0.000694,            0.000694,            0.000694
                  96,            0.024435,            0.039498,           0.0013748,             0.90453,             0.66042,             0.77969,             0.49295,            0.047582,            0.058027,           0.0022473,            0.000595,            0.000595,            0.000595
                  97,            0.024114,             0.04227,           0.0013744,             0.83254,             0.70898,             0.76688,             0.49137,            0.047028,            0.058015,           0.0022555,            0.000496,            0.000496,            0.000496
                  98,            0.023308,             0.03935,           0.0015432,              0.8289,             0.70086,              0.7638,             0.48434,            0.047227,            0.058293,           0.0022614,            0.000397,            0.000397,            0.000397
                  99,            0.024205,            0.038953,           0.0011045,             0.75968,               0.725,             0.76063,             0.48726,            0.046683,            0.058526,           0.0022534,            0.000298,            0.000298,            0.000298
